,Holt1,Holt2,Holt3
$\alpha$,0.8535714285714285,0.8535714285714285,0.8771428571428571
$\beta$,0.021886446886446885,0.021886446886446885,0.0001
$\phi$,,,0.99
$l_0$,1847570.1635457678,1847570.1635457678,1847570.1635457678
$b_0$,39474.43622275172,1.021365595202617,39474.43622275172
SSE,12744924823168.613,12758903164627.346,12540328395120.363
MAPE,23.161848062387744,10.77698949140064,7.031520246317564
MSE,139014615889.7526,35697908645.16162,15099016606.796297
Time,0:00:00.187289,0:00:00.200706,0:00:00.161412
