,Additive,Multiplicative,Additive Dam,Multiplica Dam
$\alpha$,0.6060714285714286,0.995,0.6060714285714286,0.995
$\beta$,0.00010000000000000002,0.0001,0.00010000000000000002,0.0001
$\phi$,,,0.99,0.99
$\gamma$,0.3939285714285714,0.0050000000000000044,0.3939285714285714,0.0050000000000000044
$l_0$,1798649.364047723,1798649.364047723,1798649.364047723,1798649.364047723
$b_0$,177.84164383571988,177.84164383571988,177.84164383571988,177.84164383571988
SSE,68836066979313.81,68128196338533.27,68835522214011.03,68126820044666.97
MAPE,24.130425263874898,17.089567083221226,21.92565177282149,15.750295387176664
MSE,101331982049.58644,41059889182.6787,77727479920.88379,30742572010.27659
Time,0:00:00.976452,0:00:01.551879,0:00:00.962641,0:00:01.379397
